 name          msafips   dism1990    isol1990
 "parkerwv"       6020     .427164   .0144454
 "pascagms"       6025   .55324312   .3604674
 "pawtucri"       6060   .50953946   .0365721
 "pensacfl"       6080   .53015444   .2925513
 "peoriail"       6120   .70092377   .3384824
 "philadpa"       6160   .75095576   .6080194
 "phoeniaz"       6200   .44385224   .1090319
 "pineblar"       6240   .57742258   .4204612
 "pittsbpa"       6280   .71346498   .4866579
 "pittsfma"       6320   .55486008   .0622703
 "portlame"       6400    .4846614   .0100657
 "portlaor"       6440   .67314014    .275185
 "portsmnh"       6450    .5203375   .0411572
 "poughkny"       6460   .57448738   .2579581
 "providri"       6480   .66038615   .2170048
 "puebloco"       6560   .37512336   .0232274
 "racinewi"       6600   .61780721   .3149979
 "raleignc"       6640   .48204146   .3272706
 "rapidcsd"       6660   .40722055   .0310293
 "readinpa"       6680   .60971094   .1166151
 "reddinca"       6690   .33414038    .007393
   "renonv"       6720   .36996112   .0248176
 "richlawa"       6740   .42387565   .0286849
 "richmova"       6760   .58927479   .4278612
 "riversca"       6780    .3896379   .0798868
 "roanokva"       6800   .69008809   .4812915
 "rochesny"       6840   .66253034   .3923009
 "rockfoil"       6880   .71721232   .3888168
 "sacramca"       6920   .50985309   .1304663
 "saginami"       6960   .80720871   .5860333
  "salemma"       7090   .46281706   .0219596
  "salemor"       7080    .4431142   .0341857
 "salinaca"       7120   .59507221   .1537925
 "saltlaut"       7160   .48950589   .0314461
 "sanangtx"       7200   .36445516   .1164926
 "sananttx"       7240   .51249698   .2034413
 "sandieca"       7320   .50339766   .1413569
 "sanfraca"       7360   .57708679    .263786
 "sanjosca"       7400   .32240184   .0213809
 "santabca"       7480   .37993393   .0413772
 "santacca"       7485   .42794124    .013484
 "santarca"       7500   .37264166   .0127123
 "sarasofl"       7510   .74167965   .4589848
 "savannga"       7520   .61394901   .4915968
 "scrantpa"       7560   .62677153   .0783277
 "seattlwa"       7600   .55753258   .1876682
 "sharonpa"       7610   .66705188   .2978112
 "shermatx"       7640   .49530645   .1366761
 "shrevela"       7680   .60466994   .4544154
 "siouxcia"       7720   .54646385   .0437749
 "southbin"       7800    .6463489   .3254146
 "spokanwa"       7840   .45687004   .0311839
 "springil"       7880   .64725993   .3507599
 "springma"       8000   .65842901   .3130014
 "springmo"       7920   .58086022   .0772161
 "stamfoct"       8040   .63509701   .2644552
 "statecpa"       8050   .53895827   .0576231
 "steubeoh"       8080     .631298   .1909668
 "stjosemo"       7000   .43960882   .0622632
 "stlouimo"       7040   .76971252    .626363
 "stocktca"       8120     .498405   .1050913
 "syracuny"       8160   .73178404   .4101708
 "tacomawa"       8200   .45446599   .0975163
 "tallahfl"       8240   .51970385   .3323617
  "tampafl"       8280   .68707299   .4318255
 "terrehin"       8320   .56218405   .1507262
 "texarktx"       8360   .40415608   .2402011
 "toledooh"       8400   .73617099   .5283234
 "topekaks"       8440    .5360038   .1543532
 "trentonj"       8480   .66040616   .4636158
 "tucsonaz"       8520   .36800782   .0362809
  "tulsaok"       8560   .62972139   .4523312
 "tuscalal"       8600   .50333589   .3581815
  "tylertx"       8640    .4963183   .3343097
  "uticany"       8680   .66794879   .2692239
 "vallejca"       8720   .43689187   .1289623
 "vancouwa"       8725   .36884742   .0090094
 "victortx"       8750   .32928493   .0561788
 "vinelanj"       8760   .35921767   .1850796
 "visalica"       8780   .47928792   .0345243
   "wacotx"       8800   .49644382   .3087182
 "washindc"       8840   .64058949   .4985389
 "waterbct"       8880    .6089914   .2291604
 "waterlia"       8920   .71564318   .3572169
 "westpafl"       8960   .73362341   .5290014
 "wheeliwv"       9000   .57349897   .1042149
 "wichitks"       9040   .62887176   .4116727
 "wichittx"       9080    .5933444   .3001958
 "williapa"       9140   .68514628   .1057298
 "wilminde"       9160   .54461351   .3465248
 "wilminnc"       9200    .5819092   .4163885
 "worcesma"       9240   .52491471   .0593414
 "yakimawa"       9260   .45190581   .0296987
   "yorkpa"       9280   .70977407   .2333481
 "youngsoh"       9320   .74870915    .483541
 "yubacica"       9340   .39702709   .0401906
   "yumaaz"       9360   .35031414   .0340459
